id,year,sex_label,sex,marital_status,marital_satisfaction,ideal_number_of_children,extramarital_affair_label,extramarital_affair,health_label,health,happiness_label,happiness,perfectlyPredictableHappiness
75,2002,Female,-1,Separated,NA,NA,No,-1,Good,3,NA,NA,NA
79,2002,Female,-1,Married,3,NA,No,-1,NA,NA,NA,NA,NA
80,2002,Male,1,Married,NA,NA,NA,NA,Very good,4,NA,NA,NA
84,2002,Male,1,Divorced,NA,NA,No,-1,Excellent,5,Completely happy,7,5.894038034552808
86,2002,Female,-1,Widowed,NA,NA,No,-1,Poor,1,Fairly happy,5,4.931002347779515
92,2002,Female,-1,Married,NA,NA,NA,NA,Very good,4,NA,NA,NA
94,2002,Male,1,Never married,NA,2,NA,NA,Very good,4,NA,NA,NA
95,2002,Female,-1,Married,NA,NA,NA,NA,Good,3,NA,NA,NA
96,2002,Female,-1,Divorced,NA,2,NA,NA,Excellent,5,NA,NA,NA
100,2002,Female,-1,Divorced,NA,3,No,-1,Good,3,NA,NA,NA
104,2002,Female,-1,Divorced,NA,NA,Yes,1,Very good,4,Fairly happy,5,5.653279112859485
114,2002,Female,-1,Married,3,2,NA,NA,Dont know,NA,NA,NA,NA
120,2002,Male,1,Separated,NA,4,No,-1,NA,NA,NA,NA,NA
121,2002,Female,-1,Never married,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,2002,Male,1,Divorced,NA,NA,Yes,1,Good,3,Fairly happy,5,5.412520191166162
125,2002,Female,-1,Widowed,NA,2,No,-1,Fair,2,NA,NA,NA
126,2002,Female,-1,Widowed,NA,NA,No,-1,NA,NA,NA,NA,NA
127,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
129,2002,Male,1,Never married,NA,3,NA,NA,NA,NA,NA,NA,NA
144,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
148,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Completely happy,7,5.653279112859485
153,2002,Male,1,Never married,NA,1,NA,NA,NA,NA,NA,NA,NA
160,2002,Male,1,Married,2,NA,No,-1,Fair,2,NA,NA,NA
162,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,Completely happy,7,5.412520191166162
165,2002,Male,1,Widowed,NA,NA,No,-1,NA,NA,NA,NA,NA
166,2002,Male,1,Never married,NA,NA,NA,NA,Very good,4,Fairly happy,5,5.653279112859485
170,2002,Male,1,Married,3,NA,NA,NA,Fair,2,NA,NA,NA
176,2002,Female,-1,Never married,NA,NA,NA,NA,Good,3,NA,NA,NA
177,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Fairly happy,5,5.653279112859485
178,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Very happy,6,5.894038034552808
179,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Very happy,6,5.894038034552808
180,2002,Female,-1,Married,2,4,No,-1,Excellent,5,NA,NA,NA
182,2002,Male,1,Never married,NA,2,NA,NA,Very good,4,NA,NA,NA
186,2002,Male,1,Never married,NA,5,NA,NA,NA,NA,NA,NA,NA
188,2002,Female,-1,Divorced,NA,NA,No,-1,NA,NA,NA,NA,NA
189,2002,Female,-1,Divorced,NA,NA,NA,NA,Good,3,NA,NA,NA
191,2002,Female,-1,Never married,NA,2,NA,NA,Fair,2,NA,NA,NA
192,2002,Female,-1,Divorced,NA,2,NA,NA,NA,NA,NA,NA,NA
193,2002,Male,1,Married,NA,NA,No,-1,Fair,2,Completely happy,7,5.171761269472839
198,2002,Male,1,Divorced,NA,NA,Yes,1,Excellent,5,Fairly happy,5,5.894038034552808
199,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,NA,NA,NA
201,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Fairly happy,5,5.653279112859485
207,2002,Female,-1,Never married,NA,2,NA,NA,Very good,4,NA,NA,NA
210,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Very happy,6,5.894038034552808
211,2002,Male,1,Divorced,NA,NA,Yes,1,Very good,4,Fairly happy,5,5.653279112859485
216,2002,Female,-1,Widowed,NA,NA,NA,NA,Excellent,5,NA,NA,NA
217,2002,Female,-1,Married,3,2,NA,NA,Dont know,NA,NA,NA,NA
234,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Completely happy,7,5.653279112859485
235,2002,Female,-1,Married,2,2,No,-1,Good,3,NA,NA,NA
236,2002,Male,1,Married,3,NA,No,-1,NA,NA,NA,NA,NA
238,2002,Female,-1,Married,NA,NA,NA,NA,Very good,4,NA,NA,NA
244,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,Very happy,6,5.412520191166161
246,2002,Male,1,Married,3,4,No,-1,Good,3,NA,NA,NA
247,2002,Female,-1,Married,NA,NA,NA,NA,Good,3,Fairly happy,5,5.412520191166162
248,2002,Female,-1,Separated,NA,2,No,-1,NA,NA,NA,NA,NA
250,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,NA,NA,NA
252,2002,Female,-1,Married,2,4,Yes,1,Good,3,NA,NA,NA
253,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
255,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Completely happy,7,5.894038034552808
258,2002,Female,-1,Never married,NA,NA,NA,NA,Very good,4,Fairly happy,5,5.653279112859485
261,2002,Female,-1,Never married,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,2002,Male,1,Married,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
263,2002,Female,-1,Never married,NA,NA,NA,NA,Good,3,Very happy,6,5.412520191166161
264,2002,Female,-1,Widowed,NA,NA,NA,NA,Poor,1,NA,NA,NA
276,2002,Female,-1,Married,2,NA,No,-1,Excellent,5,NA,NA,NA
277,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
285,2002,Female,-1,Married,NA,NA,No,-1,Fair,2,Fairly happy,5,5.171761269472838
286,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Completely happy,7,5.894038034552808
287,2002,Male,1,Married,3,2,No,-1,Very good,4,NA,NA,NA
300,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Fairly happy,5,5.894038034552808
301,2002,Female,-1,Divorced,NA,NA,Yes,1,Excellent,5,Fairly happy,5,5.894038034552808
304,2002,Male,1,Married,3,NA,No,-1,NA,NA,NA,NA,NA
307,2002,Female,-1,Married,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
310,2002,Female,-1,Married,NA,NA,NA,NA,Fair,2,NA,NA,NA
314,2002,Male,1,Married,3,NA,NA,NA,NA,NA,NA,NA,NA
322,2002,Female,-1,Never married,NA,NA,NA,NA,Very good,4,NA,NA,NA
326,2002,Female,-1,Widowed,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
329,2002,Female,-1,Never married,NA,2,NA,NA,Good,3,NA,NA,NA
330,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,Very unhappy,2,5.412520191166161
335,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
344,2002,Female,-1,Never married,NA,3,NA,NA,Very good,4,NA,NA,NA
346,2002,Male,1,Never married,NA,NA,NA,NA,Very good,4,Completely happy,7,5.653279112859485
347,2002,Female,-1,Married,3,4,NA,NA,NA,NA,NA,NA,NA
349,2002,Male,1,Married,3,NA,No,-1,Good,3,NA,NA,NA
357,2002,Female,-1,Never married,NA,NA,NA,NA,Good,3,Very happy,6,5.412520191166161
360,2002,Female,-1,Married,2,NA,No,-1,Good,3,NA,NA,NA
362,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Fairly happy,5,5.653279112859485
368,2002,Male,1,Never married,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
370,2002,Male,1,Widowed,NA,NA,No,-1,NA,NA,NA,NA,NA
374,2002,Male,1,Never married,NA,NA,NA,NA,Very good,4,Very happy,6,5.653279112859485
376,2002,Female,-1,Never married,NA,NA,NA,NA,Very good,4,NA,NA,NA
378,2002,Male,1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
380,2002,Male,1,Separated,NA,3,NA,NA,Excellent,5,NA,NA,NA
383,2002,Female,-1,Divorced,NA,NA,No,-1,Very good,4,Fairly happy,5,5.653279112859485
385,2002,Male,1,Separated,NA,NA,No,-1,Good,3,NA,NA,NA
386,2002,Female,-1,Divorced,NA,3,No,-1,Very good,4,NA,NA,NA
389,2002,Male,1,Married,NA,NA,No,-1,Very good,4,Very unhappy,2,5.653279112859485
390,2002,Male,1,Married,NA,NA,NA,NA,Very good,4,NA,NA,NA
391,2002,Female,-1,Never married,NA,NA,NA,NA,Good,3,NA,NA,NA
396,2002,Male,1,Separated,NA,NA,NA,NA,Good,3,Fairly happy,5,5.412520191166162
397,2002,Male,1,Married,3,4,No,-1,NA,NA,NA,NA,NA
399,2002,Male,1,Married,NA,NA,NA,NA,Very good,4,NA,NA,NA
401,2002,Male,1,Married,2,4,No,-1,NA,NA,NA,NA,NA
404,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Neither happy nor unhappy,4,5.412520191166162
405,2002,Female,-1,Separated,NA,2,No,-1,Good,3,NA,NA,NA
407,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
410,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Fairly unhappy,3,5.894038034552809
412,2002,Female,-1,Divorced,NA,2,Yes,1,Very good,4,NA,NA,NA
413,2002,Female,-1,Never married,NA,3,NA,NA,Good,3,NA,NA,NA
414,2002,Male,1,Never married,NA,NA,NA,NA,Excellent,5,NA,NA,NA
416,2002,Female,-1,Married,2,2,Yes,1,Very good,4,NA,NA,NA
419,2002,Male,1,Divorced,NA,NA,No,-1,Very good,4,Fairly happy,5,5.653279112859485
420,2002,Female,-1,Divorced,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
428,2002,Female,-1,Never married,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,2002,Female,-1,Never married,NA,NA,NA,NA,Dont know,NA,NA,NA,NA
431,2002,Male,1,Never married,NA,2,NA,NA,Good,3,NA,NA,NA
432,2002,Female,-1,Married,3,2,NA,NA,Very good,4,NA,NA,NA
434,2002,Male,1,Never married,NA,NA,NA,NA,Excellent,5,NA,NA,NA
436,2002,Male,1,Divorced,NA,2,No,-1,Very good,4,NA,NA,NA
438,2002,Female,-1,Married,NA,NA,NA,NA,Good,3,Fairly happy,5,5.412520191166162
441,2002,Female,-1,Never married,NA,2,NA,NA,NA,NA,NA,NA,NA
442,2002,Female,-1,Married,NA,NA,Yes,1,Excellent,5,Completely happy,7,5.894038034552808
443,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Very happy,6,5.894038034552808
444,2002,Female,-1,Never married,NA,4,NA,NA,Very good,4,NA,NA,NA
445,2002,Male,1,Married,2,NA,No,-1,Very good,4,NA,NA,NA
446,2002,Female,-1,Never married,NA,NA,NA,NA,Fair,2,NA,NA,NA
447,2002,Female,-1,Divorced,NA,NA,NA,NA,Excellent,5,NA,NA,NA
448,2002,Male,1,Never married,NA,NA,NA,NA,Excellent,5,NA,NA,NA
454,2002,Female,-1,Married,3,4,No,-1,NA,NA,NA,NA,NA
457,2002,Male,1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
458,2002,Male,1,Never married,NA,NA,NA,NA,Very good,4,Fairly happy,5,5.653279112859485
460,2002,Female,-1,Widowed,NA,2,NA,NA,NA,NA,NA,NA,NA
461,2002,Male,1,Never married,NA,NA,NA,NA,Poor,1,Fairly happy,5,4.931002347779515
468,2002,Male,1,Married,NA,NA,No,-1,Fair,2,Very happy,6,5.171761269472838
472,2002,Female,-1,Never married,NA,2,NA,NA,NA,NA,NA,NA,NA
476,2002,Male,1,Married,3,1,Yes,1,Excellent,5,NA,NA,NA
480,2002,Female,-1,Separated,NA,NA,NA,NA,Fair,2,NA,NA,NA
483,2002,Female,-1,Separated,NA,NA,NA,NA,Good,3,NA,NA,NA
487,2002,Male,1,Married,3,NA,No,-1,Excellent,5,NA,NA,NA
489,2002,Female,-1,Widowed,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,2002,Male,1,Married,NA,NA,No,-1,NA,NA,Neither happy nor unhappy,4,NA
497,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
500,2002,Male,1,Married,3,2,No,-1,Very good,4,NA,NA,NA
505,2002,Female,-1,Never married,NA,NA,NA,NA,Fair,2,NA,NA,NA
506,2002,Male,1,Married,2,4,No,-1,Fair,2,NA,NA,NA
512,2002,Male,1,Married,2,NA,No,-1,Excellent,5,NA,NA,NA
514,2002,Female,-1,Married,2,NA,No,-1,NA,NA,NA,NA,NA
516,2002,Female,-1,Divorced,NA,NA,No,-1,Good,3,Neither happy nor unhappy,4,5.412520191166162
518,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
520,2002,Male,1,Never married,NA,0,NA,NA,Excellent,5,NA,NA,NA
522,2002,Male,1,Married,3,NA,NA,NA,Very good,4,NA,NA,NA
529,2002,Male,1,Married,3,NA,No,-1,Very good,4,NA,NA,NA
530,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
535,2002,Male,1,Married,3,3,No,-1,Excellent,5,NA,NA,NA
542,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
545,2002,Female,-1,Married,2,NA,NA,NA,Good,3,NA,NA,NA
551,2002,Male,1,Divorced,NA,NA,No,-1,Excellent,5,Very happy,6,5.894038034552808
555,2002,Female,-1,Widowed,NA,NA,NA,NA,Excellent,5,NA,NA,NA
558,2002,Male,1,Married,3,NA,No,-1,Excellent,5,NA,NA,NA
560,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
565,2002,Female,-1,Divorced,NA,NA,No,-1,Excellent,5,NA,NA,NA
568,2002,Female,-1,Never married,NA,2,NA,NA,NA,NA,NA,NA,NA
569,2002,Female,-1,Never married,NA,NA,NA,NA,Fair,2,NA,NA,NA
573,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,NA,NA,NA
575,2002,Male,1,Separated,NA,NA,No,-1,Excellent,5,Very happy,6,5.894038034552808
577,2002,Female,-1,Married,3,2,No,-1,NA,NA,NA,NA,NA
582,2002,Male,1,Divorced,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
584,2002,Male,1,Divorced,NA,NA,Yes,1,Good,3,Fairly happy,5,5.412520191166162
587,2002,Male,1,Never married,NA,3,NA,NA,Fair,2,NA,NA,NA
588,2002,Female,-1,Married,2,NA,No,-1,Very good,4,NA,NA,NA
595,2002,Female,-1,Never married,NA,2,NA,NA,Excellent,5,NA,NA,NA
596,2002,Female,-1,Never married,NA,NA,NA,NA,Good,3,Fairly happy,5,5.412520191166162
598,2002,Female,-1,Separated,NA,NA,No,-1,Good,3,Fairly happy,5,5.412520191166162
599,2002,Male,1,Married,2,2,No,-1,Good,3,NA,NA,NA
600,2002,Female,-1,Married,2,3,No,-1,Very good,4,NA,NA,NA
602,2002,Female,-1,Married,3,2,No,-1,Very good,4,NA,NA,NA
603,2002,Female,-1,Married,2,NA,No,-1,NA,NA,NA,NA,NA
604,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
610,2002,Female,-1,Widowed,NA,NA,No,-1,Very good,4,Fairly happy,5,5.653279112859485
614,2002,Male,1,Married,2,NA,Yes,1,Very good,4,NA,NA,NA
615,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
620,2002,Male,1,Married,2,3,No,-1,NA,NA,NA,NA,NA
621,2002,Female,-1,Married,3,3,No,-1,Very good,4,NA,NA,NA
623,2002,Male,1,Married,NA,NA,No,-1,Excellent,5,Very happy,6,5.894038034552808
624,2002,Female,-1,Widowed,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
625,2002,Female,-1,Married,2,2,No,-1,Very good,4,NA,NA,NA
627,2002,Male,1,Married,1,2,No,-1,Excellent,5,NA,NA,NA
631,2002,Male,1,Never married,NA,1,NA,NA,NA,NA,NA,NA,NA
632,2002,Female,-1,Divorced,NA,NA,No,-1,Very good,4,NA,NA,NA
635,2002,Male,1,Married,2,2,No,-1,Good,3,NA,NA,NA
638,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Fairly happy,5,5.894038034552808
645,2002,Female,-1,Separated,NA,NA,No,-1,Very good,4,Neither happy nor unhappy,4,5.653279112859485
646,2002,Female,-1,Married,NA,NA,Yes,1,Very good,4,Very happy,6,5.653279112859485
650,2002,Female,-1,Married,NA,NA,No,-1,Fair,2,Fairly happy,5,5.171761269472838
655,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
661,2002,Male,1,Divorced,NA,3,NA,NA,NA,NA,NA,NA,NA
662,2002,Male,1,Widowed,NA,NA,No,-1,NA,NA,NA,NA,NA
664,2002,Female,-1,Widowed,NA,NA,No,-1,NA,NA,NA,NA,NA
666,2002,Female,-1,Widowed,NA,NA,No,-1,Excellent,5,Completely happy,7,5.894038034552808
668,2002,Female,-1,Married,3,2,No,-1,NA,NA,NA,NA,NA
671,2002,Male,1,Never married,NA,2,NA,NA,Good,3,NA,NA,NA
675,2002,Male,1,Married,NA,NA,No,-1,Excellent,5,Completely happy,7,5.894038034552808
677,2002,Female,-1,Widowed,NA,3,NA,NA,NA,NA,NA,NA,NA
679,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,Fairly happy,5,5.412520191166162
690,2002,Female,-1,Married,NA,NA,Yes,1,Good,3,Very happy,6,5.412520191166161
695,2002,Male,1,Never married,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,2002,Female,-1,Married,NA,NA,Yes,1,Good,3,Fairly unhappy,3,5.412520191166161
699,2002,Female,-1,Widowed,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
700,2002,Female,-1,Married,3,3,No,-1,Excellent,5,NA,NA,NA
701,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
704,2002,Female,-1,Married,3,3,No,-1,Excellent,5,NA,NA,NA
706,2002,Male,1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
708,2002,Male,1,Married,2,3,No,-1,Excellent,5,NA,NA,NA
711,2002,Female,-1,Divorced,NA,NA,Yes,1,Excellent,5,Very happy,6,5.894038034552808
713,2002,Male,1,Never married,NA,3,NA,NA,Excellent,5,NA,NA,NA
714,2002,Male,1,Married,3,NA,No,-1,Excellent,5,NA,NA,NA
716,2002,Female,-1,Never married,NA,NA,NA,NA,Very good,4,Very happy,6,5.653279112859485
717,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
720,2002,Female,-1,Widowed,NA,NA,NA,NA,Good,3,NA,NA,NA
722,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
728,2002,Male,1,Never married,NA,NA,NA,NA,Very good,4,NA,NA,NA
730,2002,Female,-1,Widowed,NA,NA,No,-1,Fair,2,Fairly happy,5,5.171761269472838
733,2002,Female,-1,Never married,NA,NA,NA,NA,Poor,1,NA,NA,NA
734,2002,Female,-1,Never married,NA,2,NA,NA,Very good,4,NA,NA,NA
741,2002,Male,1,Married,NA,NA,NA,NA,Fair,2,NA,NA,NA
742,2002,Male,1,Divorced,NA,1,No,-1,Excellent,5,NA,NA,NA
745,2002,Female,-1,Married,NA,NA,NA,NA,Very good,4,NA,NA,NA
746,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Fairly happy,5,5.653279112859485
747,2002,Female,-1,Never married,NA,NA,NA,NA,Fair,2,NA,NA,NA
750,2002,Female,-1,Married,NA,NA,No,-1,Fair,2,Fairly happy,5,5.171761269472838
756,2002,Female,-1,Never married,NA,NA,NA,NA,Very good,4,Very happy,6,5.653279112859485
758,2002,Male,1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
759,2002,Female,-1,Divorced,NA,2,No,-1,NA,NA,NA,NA,NA
765,2002,Female,-1,Widowed,NA,2,No,-1,NA,NA,NA,NA,NA
769,2002,Female,-1,Married,1,NA,NA,NA,Very good,4,NA,NA,NA
776,2002,Female,-1,Married,2,2,No,-1,Excellent,5,NA,NA,NA
777,2002,Female,-1,Divorced,NA,NA,No,-1,Good,3,NA,NA,NA
778,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
782,2002,Male,1,Married,3,NA,No,-1,Good,3,NA,NA,NA
788,2002,Male,1,Married,NA,NA,No,-1,Very good,4,Very happy,6,5.653279112859485
790,2002,Female,-1,Divorced,NA,NA,No,-1,Good,3,NA,NA,NA
791,2002,Female,-1,Never married,NA,NA,NA,NA,Good,3,Fairly happy,5,5.412520191166162
797,2002,Female,-1,Widowed,NA,NA,No,-1,NA,NA,NA,NA,NA
799,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Completely happy,7,5.894038034552808
800,2002,Female,-1,Widowed,NA,NA,No,-1,Good,3,Completely happy,7,5.412520191166162
801,2002,Male,1,Divorced,NA,2,Yes,1,Fair,2,NA,NA,NA
805,2002,Male,1,Married,3,4,NA,NA,NA,NA,NA,NA,NA
806,2002,Male,1,Married,3,NA,No,-1,Excellent,5,NA,NA,NA
813,2002,Female,-1,Divorced,NA,NA,NA,NA,Good,3,Very happy,6,5.412520191166161
814,2002,Female,-1,Divorced,NA,NA,No,-1,Fair,2,Fairly unhappy,3,5.171761269472838
816,2002,Female,-1,Never married,NA,4,NA,NA,Good,3,NA,NA,NA
819,2002,Male,1,Separated,NA,NA,No,-1,Good,3,NA,NA,NA
822,2002,Male,1,Married,3,NA,No,-1,Very good,4,NA,NA,NA
824,2002,Male,1,Married,NA,NA,No,-1,Fair,2,Very happy,6,5.171761269472838
828,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,Fairly happy,5,5.412520191166162
831,2002,Male,1,Divorced,NA,NA,No,-1,Fair,2,Fairly happy,5,5.171761269472838
833,2002,Female,-1,Married,NA,NA,Yes,1,Very good,4,Fairly unhappy,3,5.653279112859485
836,2002,Female,-1,Married,NA,NA,Yes,1,Fair,2,Very happy,6,5.171761269472838
839,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Fairly happy,5,5.412520191166162
840,2002,Female,-1,Divorced,NA,2,No,-1,NA,NA,NA,NA,NA
841,2002,Female,-1,Never married,NA,NA,NA,NA,Good,3,Very happy,6,5.412520191166161
846,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,Very happy,6,5.894038034552808
851,2002,Female,-1,Divorced,NA,NA,No,-1,Fair,2,Fairly happy,5,5.171761269472838
854,2002,Female,-1,Separated,NA,NA,Yes,1,Excellent,5,Fairly happy,5,5.894038034552808
858,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,Fairly unhappy,3,5.412520191166161
862,2002,Female,-1,Divorced,NA,NA,No,-1,Good,3,NA,NA,NA
863,2002,Male,1,Married,NA,NA,Yes,1,Very good,4,Very happy,6,5.653279112859485
870,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Fairly happy,5,5.894038034552808
876,2002,Male,1,Married,2,2,Yes,1,Fair,2,NA,NA,NA
880,2002,Male,1,Married,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
881,2002,Female,-1,Married,NA,NA,NA,NA,Excellent,5,NA,NA,NA
882,2002,Male,1,Married,3,2,No,-1,Very good,4,NA,NA,NA
883,2002,Female,-1,Married,2,NA,Yes,1,Very good,4,NA,NA,NA
886,2002,Male,1,Married,3,3,No,-1,Very good,4,NA,NA,NA
887,2002,Male,1,Never married,NA,NA,NA,NA,NA,NA,NA,NA,NA
890,2002,Female,-1,Married,NA,NA,No,-1,Very good,4,Completely happy,7,5.653279112859485
891,2002,Male,1,Married,3,2,No,-1,Fair,2,NA,NA,NA
894,2002,Female,-1,Married,3,3,No,-1,Very good,4,NA,NA,NA
895,2002,Female,-1,Married,2,3,No,-1,NA,NA,NA,NA,NA
896,2002,Female,-1,Married,NA,NA,No,-1,Excellent,5,Completely happy,7,5.894038034552808
897,2002,Male,1,Divorced,NA,NA,No,-1,Good,3,Fairly happy,5,5.412520191166162
898,2002,Male,1,Never married,NA,2,NA,NA,Good,3,NA,NA,NA
902,2002,Female,-1,Married,2,2,No,-1,Poor,1,NA,NA,NA
905,2002,Female,-1,Never married,NA,NA,NA,NA,Fair,2,Fairly happy,5,5.171761269472838
910,2002,Female,-1,Never married,NA,NA,NA,NA,NA,NA,NA,NA,NA
917,2002,Male,1,Divorced,NA,NA,No,-1,Good,3,Fairly happy,5,5.412520191166162
924,2002,Female,-1,Widowed,NA,2,No,-1,NA,NA,NA,NA,NA
925,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Completely happy,7,5.412520191166162
927,2002,Female,-1,Married,2,2,No,-1,NA,NA,NA,NA,NA
929,2002,Male,1,Married,2,6,No,-1,NA,NA,NA,NA,NA
930,2002,Male,1,Never married,NA,NA,NA,NA,Good,3,NA,NA,NA
933,2002,Female,-1,Married,NA,NA,No,-1,Fair,2,Neither happy nor unhappy,4,5.171761269472839
